ID,Sex,BM,BH,SH,CA,Dif APHV,APHV,S 0-10,S 10-30,S 0-30,S 30-60,S 0-60,FOST,BOST,TH,FJT,CMJ,DJ,12MR
146,f,45.2,157.5,81,13.44,1,12.44,1.93,2.83,4.76,4.22,9,9.12,8.75,7.70,13.62,33,1.34,2450
147,f,71.3,171.5,90,15.94,3.42,12.52,1.86,2.57,4.43,3.81,8.24,14.35,16.52,8.75,14.54,40.1,1.4,
148,f,54.4,160.5,84.5,14.72,2.04,12.68,1.84,2.75,4.59,4.11,8.7,11.26,12.60,7.91,13.02,41.5,1.28,2550
149,f,62.5,167.5,87.8,14.71,2.49,12.22,1.93,2.65,4.59,3.95,8.55,13.32,13.87,7.98,13.12,39.1,1.46,2130
150,f,68.9,173.5,90,15.1,3.04,12.06,1.83,2.68,4.51,3.97,8.51,13.09,14.97,7.875,12.88,34.4,1.03,2101
151,f,67,177.0,93,15.5,3.53,11.97,1.81,2.58,4.39,3.67,8.07,12.5,,8.35,14,35.5,1.74,2370
152,f,71,181.1,94.5,15.38,3.69,11.68,,,4.17,3.44,7.61,13.16,15.73,7.265,,38,1.64,2700
153,f,90.4,168.9,90.7,15.15,3.07,12.08,2.04,2.83,4.71,4.22,9.04,14.04,14.85,6.1,,32.6,0.94,1830
154,f,73.2,173,90,14.5,2.74,11.77,1.88,2.62,4.5,3.96,8.47,13.31,13.05,6.475,14.7,36.5,1.6,
155,f,65.6,173.5,91.6,14.76,2.93,11.83,1.88,2.73,4.63,3.98,8.62,12.1,,6.775,14.3,33.8,1.21,
